"node_name","node_id","prod_type","prod_subtype","coal_brand","coal_group","year","prod_capa_Mt","total_cash_cost_ex_transp","c1_cash_cost_ex_transp","price_ex_transp","price_usd_pt","c1cashcost_usd_pt","mining_cost_usd_pt","coal_prep_cost_usd_pt","overhead_cost_usd_pt","port_cost_usd_pt","transp_cost_usd_pt","royalties_usd_pt","CV_cost_premium"
"mine Anhui KSOE","mine_idno_2","Metallurgical","SCC","Anhui SCC","SCC",2020,10.09,65.9,60.1,172.1,174.44392,62.41438,51.29502,5.19866,5.9207,0,0,5.81095,0
"mine Anhui KSOE","mine_idno_2","Metallurgical","SCC","Anhui SCC","SCC",2021,9.63,68,61.9,180.4,182.71104,64.2985868382341,52.8435497108606,5.35560390062152,6.09943322675207,0,0,6.06273,0
"mine Anhui KSOE","mine_idno_2","Metallurgical","SCC","Anhui SCC","SCC",2022,9.04,69.1,63.1,177.2,179.52554,65.4627819891886,53.800339430016,5.45257000346218,6.20987255571046,0,0,5.96464,0
"mine Anhui KSOE","mine_idno_2","Metallurgical","SCC","Anhui SCC","SCC",2023,7.63,70.8,65,171.3,173.60962,67.358388881476,55.3582368242642,5.61045639161144,6.3896956656004,0,0,5.79053,0
"mine Anhui KSOE","mine_idno_2","Metallurgical","SCC","Anhui SCC","SCC",2024,6.96,73,67.3,168.2,170.57679,69.6171673592081,57.2146095927331,5.79859758530546,6.60396018116951,0,0,5.70727,0
"mine Anhui KSOE","mine_idno_2","Metallurgical","SCC","Anhui SCC","SCC",2025,6.48,74.3,68.7,165.2,167.54396,71.0095107063922,58.3589017845877,5.91456953701156,6.73603938479289,0,0,5.61629,0
"mine Anhui KSOE","mine_idno_2","Metallurgical","SCC","Anhui SCC","SCC",2026,6.17,75.8,70.1,168.5,170.89484,72.4297009205201,59.5260798202795,6.0328609277518,6.87076017248876,0,0,5.71681,0
"mine Anhui KSOE","mine_idno_2","Metallurgical","SCC","Anhui SCC","SCC",2027,5.97,77.3,71.5,172,174.31274,73.8782949389303,60.716601416685,6.15351814630682,7.00817537593851,0,0,5.81935,0
"mine Anhui KSOE","mine_idno_2","Metallurgical","SCC","Anhui SCC","SCC",2028,5.7,78.9,73,175.4,177.79899,75.3558608377091,61.9309334450188,6.27658850923297,7.1483388834573,0,0,5.92394,0
"mine Anhui KSOE","mine_idno_2","Metallurgical","SCC","Anhui SCC","SCC",2029,5.44,80.5,74.5,179,181.35497,76.862978054463,63.1695521139189,6.4021202794176,7.29130566112642,0,0,6.03062,0
"mine Anhui KSOE","mine_idno_2","Metallurgical","SCC","Anhui SCC","SCC",2030,5,82.2,76.1,182.6,184.98207,78.4002376155524,64.4329431561974,6.53016268500597,7.43713177434896,0,0,6.13943,0
"mine Anhui KSOE","mine_idno_2","Thermal","Bituminous","Anhui 5500","Thermal_5500",2015,81.48,63.1,61.2,53,55.40389,63.51284,52.61154,2.55056,8.35073,0,0,1.9833,0
"mine Anhui KSOE","mine_idno_2","Thermal","Bituminous","Anhui 5500","Thermal_5500",2016,75.43,43.3,41.3,55,57.34497,43.64535,35.68594,2.39048,5.56893,0,0,2.02137,0
"mine Anhui KSOE","mine_idno_2","Thermal","Bituminous","Anhui 5500","Thermal_5500",2017,59.62,53.6,51,72.5,74.842,53.36534,44.65611,2.34914,6.36009,0,0,2.54108,0
"mine Anhui KSOE","mine_idno_2","Thermal","Bituminous","Anhui 5500","Thermal_5500",2018,57.91,56.5,53.8,78.5,80.86509,56.10687,47.20682,2.40061,6.49943,0,0,2.72825,0
"mine Anhui KSOE","mine_idno_2","Thermal","Bituminous","Anhui 5500","Thermal_5500",2019,55.44,53.8,51.3,71.1,73.38908,53.60202,45.36821,2.29899,5.93481,0,0,2.49118,0
"mine Anhui KSOE","mine_idno_2","Thermal","Bituminous","Anhui 5500","Thermal_5500",2020,55.14,53.5,51.2,65.4,67.72698,53.47453,45.26031,2.29353,5.9207,0,0,2.32062,0
"mine Anhui KSOE","mine_idno_2","Thermal","Bituminous","Anhui 5500","Thermal_5500",2021,53.01,55.2,52.7,71,73.31542,55.0888653775534,46.6266578971768,2.36276401847408,6.09943322675207,0,0,2.49016,0
"mine Anhui KSOE","mine_idno_2","Thermal","Bituminous","Anhui 5500","Thermal_5500",2022,50.2,56.2,53.7,68.6,70.97337,56.0863027996323,47.470883422876,2.40554682104588,6.20987255571046,0,0,2.41864,0
"mine Anhui KSOE","mine_idno_2","Thermal","Bituminous","Anhui 5500","Thermal_5500",2023,51.33,57.8,55.4,69.1,71.48184,57.7103978907676,48.8455005610259,2.47520166414124,6.3896956656004,0,0,2.43558,0
"mine Anhui KSOE","mine_idno_2","Thermal","Bituminous","Anhui 5500","Thermal_5500",2024,48.27,59.7,57.3,66.5,68.84985,59.6456479050146,50.4834771252181,2.55821059862699,6.60396018116951,0,0,2.36048,0
"mine Anhui KSOE","mine_idno_2","Thermal","Bituminous","Anhui 5500","Thermal_5500",2025,45.97,60.8,58.5,63.9,66.21786,60.8385608631148,51.4931466677224,2.60937481059953,6.73603938479289,0,0,2.28152,0
